danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster,id
0.324,0.0773,3.0,-22.784,0.0,0.0469,0.98,0.92,0.118,0.163,125.641,8.0,6hrfAGbtb5gJIl8WJDQuNH
0.599,0.00379,5.0,-31.414,1.0,0.0644,0.986,0.924,0.101,0.326,131.623,8.0,606R1WLtU2hPgl0YNfSJ4j
0.209,0.00299,2.0,-33.974,1.0,0.0491,0.992,0.955,0.104,0.039,66.685,8.0,4b59u2E74KcDuyHCRBkf5v
0.33,0.00274,2.0,-37.342,0.0,0.0617,0.992,0.908,0.0668,0.188,61.088,8.0,1ThKqYwGxzcxIrYsjfVr85
0.355,0.0164,3.0,-28.659,1.0,0.0396,0.995,0.926,0.0986,0.0922,67.946,8.0,00CXUMREit80f2McJsjcIz
0.558,0.165,5.0,-18.044,1.0,0.0687,0.993,0.957,0.11,0.199,76.763,8.0,2YItRJnmbfkfTCBo3dEhDd
0.376,0.0207,3.0,-35.713,1.0,0.0678,0.993,0.954,0.0938,0.429,75.607,8.0,5lm18pjbwdth6ENVllxjfl
0.258,0.0238,0.0,-28.865,0.0,0.0428,0.994,0.904,0.106,0.0757,140.596,8.0,4XPq8MBYuWi4Z5PzmebwYo
0.442,0.134,1.0,-19.543,0.0,0.0425,0.991,0.946,0.103,0.288,147.943,8.0,6nwqhRmNfARpidQFUEwjeB
0.274,0.144,3.0,-20.374,1.0,0.0372,0.932,0.916,0.111,0.172,136.023,8.0,322jQ92QZRnliN8VbQMsUh
0.375,0.165,9.0,-21.918,1.0,0.0676,0.995,0.901,0.105,0.0581,114.728,8.0,6a7vpKrVXdAyMItaQI9ZYS
0.448,0.0664,7.0,-23.702,1.0,0.0334,0.993,0.925,0.0982,0.179,64.489,8.0,3LWDZcu2ofXxME21RNJr5k
0.278,0.00245,1.0,-41.53,0.0,0.0497,0.995,0.881,0.114,0.293,139.161,8.0,630zE7N1xPxdK2Zz4S3rPA
0.39,0.0429,3.0,-27.186,1.0,0.0371,0.966,0.9,0.111,0.116,100.681,8.0,0LGbC0S4fcUIcaEk08Hc8r
0.36,0.00301,6.0,-35.441,0.0,0.0444,0.994,0.897,0.0557,0.18,72.892,8.0,1v3gGmcneK1QzYyBFiBXG0
0.275,0.00429,3.0,-36.937,1.0,0.0473,0.988,0.937,0.119,0.304,71.123,8.0,1ymzdmQYjO3ThdlToYZnTq
0.447,0.157,6.0,-17.807,1.0,0.0385,0.984,0.917,0.0954,0.175,65.906,8.0,73RQF5UVnSL2FPsC5aMyD7
0.343,0.135,9.0,-20.053,1.0,0.053,0.98,0.907,0.101,0.0502,119.888,8.0,0YobtWRsvczoHiXhrm7kEQ
0.639,0.028,6.0,-29.729,0.0,0.039,0.971,0.397,0.116,0.4,130.02,8.0,63UlcXS3kWJXph9FL5zeWA
0.25,0.00904,5.0,-31.617,1.0,0.041,0.995,0.922,0.0779,0.083,62.541,8.0,086sjLPEqdKBgTxbTeCLCv
0.349,0.191,0.0,-16.111,0.0,0.0463,0.992,0.936,0.132,0.0414,140.422,8.0,1jcQ040aWKeiUGJ2IcnFtV
0.228,0.22,3.0,-14.03,0.0,0.0357,0.893,0.156,0.119,0.0382,124.006,7.0,5gC2gJLfv8VZjePQXWZh7j
0.36,0.024,5.0,-23.932,1.0,0.0544,0.993,0.955,0.104,0.246,79.941,8.0,3L3jNg0Hvd1MF81aDgnCNC
0.303,0.108,9.0,-27.433,0.0,0.0473,0.994,0.877,0.0805,0.18,126.931,8.0,6MQAB3vorg90FA3tQpbYXK
0.213,0.0656,7.0,-24.81,1.0,0.0467,0.992,0.969,0.0699,0.0384,65.023,8.0,3U8Fx7zNTQrctytkj6Gqgd
0.18,0.226,9.0,-16.457,0.0,0.042,0.951,0.982,0.0998,0.048,94.079,8.0,6pWgRkpqVfxnj3WuIcJ7WP
0.23,0.0592,7.0,-23.594,1.0,0.0445,0.989,0.941,0.0906,0.103,89.965,8.0,1Bdgn4nmMlADRQ6DPJh7UM
0.701,0.341,1.0,-12.26,0.0,0.0418,0.499,0.903,0.359,0.163,105.513,2.0,5xbuJuQsTVheVZvX2AJVIv
0.565,0.329,10.0,-12.222,0.0,0.0475,0.436,0.0,0.29,0.702,79.054,7.0,4v79iygQ4tRn5GDwxDEN45
0.659,0.248,10.0,-11.169,0.0,0.0573,0.861,0.0,0.19,0.647,115.118,7.0,7moJWeYfMTr7iWgSHvwF7Y
0.599,0.189,0.0,-12.476,0.0,0.0899,0.806,7.5e-05,0.193,0.419,113.201,7.0,5yYJNiQ3oapwwxu2A7Ch0A
0.727,0.413,4.0,-9.621,0.0,0.0346,0.712,0.000158,0.0765,0.314,110.545,7.0,1WWVlkmJSdLBSiqF2m8Ex2
0.64,0.154,6.0,-14.05,0.0,0.042,0.768,0.0,0.0551,0.481,126.045,7.0,6qMMQzYTKabamnMPlCmfxb
0.641,0.393,10.0,-6.41,1.0,0.0331,0.591,0.0,0.147,0.449,113.323,11.0,6RjvMuSa4ZCqPueIIO4IBs
0.648,0.11,4.0,-16.3,0.0,0.0637,0.88,1.21e-06,0.163,0.444,92.376,7.0,5zBtJauGTfVNkfcpAtKqOi
0.586,0.0652,0.0,-16.049,1.0,0.0389,0.791,0.0,0.162,0.54,119.287,11.0,65O89M7GMB8pA88VyxxJm7
0.686,0.393,5.0,-8.36,0.0,0.226,0.773,0.0,0.0534,0.74,128.94,7.0,4JBtcz5a0WHBTfKXpg7P0e
0.579,0.223,5.0,-22.061,1.0,0.0412,0.89,0.848,0.105,0.531,88.809,8.0,6EC51OfUhguCbNp5H5SdGm
0.777,0.355,7.0,-14.978,1.0,0.0502,0.788,0.823,0.0748,0.884,137.944,2.0,1zcCvJeGmcLQFfYHlcDnf1
0.501,0.447,10.0,-10.126,1.0,0.0478,0.61,0.0,0.134,0.611,175.882,13.0,7hZ5vjaWl6KxvTXo1aMorp
